"School","District","Enrollment","Students enrolled in the school - active student cases","Students enrolled in the school - % of students testing positive","School-associated cases - active student cases","School-Associated cases - all cases (last 14 days)","School-associated cases - all cases 2021-2022 school year","School-associated cases % of students testing positive"
"Herriman High","Jordan District","2077","23","1.1%","6","8","80","0.3%"
"Fremont High","Weber District","2061","23","1.1%","7","8","100","0.3%"
"Roy High","Weber District","1873","23","1.2%","11","12","113","0.6%"
"American Fork High","Alpine District","2449","23","0.9%","8","9","58","0.3%"
"Kearns High","Granite District","2308","23","1%","7","10","72","0.3%"
"Skyridge High School","Alpine District","3014","22","0.7%","<5","<5","55","<5 student cases"
"Westlake High","Alpine District","2357","22","0.9%","6","8","111","0.3%"
"Lehi High","Alpine District","1756","21","1.2%","<5","5","42","<5 student cases"
"Ecker Hill Middle","Park City District","766","21","2.7%","7","10","51","0.9%"
"Parleys Park School","Park City District","559","21","3.8%","9","9","47","1.6%"
"Woods Cross High","Davis District","1448","21","1.5%","5","7","77","0.3%"
"Syracuse High","Davis District","2197","21","1%","6","7","159","0.3%"
"Farmington Jr High","Davis District","1186","20","1.7%","11","12","59","0.9%"
"Northridge High","Davis District","1753","20","1.1%","9","10","129","0.5%"
"Cedar Valley High","Alpine District","2347","19","0.8%","5","5","115","0.2%"
"Treasure Mtn. Junior High School","Park City District","818","19","2.3%","<5","6","19","<5 student cases"
"Orem High","Alpine District","1290","18","1.4%","6","7","40","0.5%"
"Timpview High","Provo District","2353","18","0.8%","<5","5","61","<5 student cases"
"Hunter High","Granite District","2504","18","0.7%","<5","5","73","<5 student cases"
"West Jordan High","Jordan District","1843","18","1%","6","6","61","0.3%"
"Draper Park Middle","Canyons District","1627","17","1%","5","6","57","0.3%"
"Olympus Jr High","Granite District","819","17","2.1%","6","6","22","0.7%"
"Jeremy Ranch School","Park City District","516","17","3.3%","6","7","28","1.2%"
"Provo High","Provo District","1931","16","0.8%","5","6","51","0.3%"
"Oquirrh Hills Middle","Jordan District","1377","16","1.2%","9","11","54","0.7%"
"Fort Herriman Middle","Jordan District","1300","16","1.2%","11","12","63","0.8%"
"South Davis Jr High","Davis District","1020","16","1.6%","9","9","50","0.9%"
"Weber High","Weber District","2101","16","0.8%","8","9","123","0.4%"
"Thomas Jefferson Jr High","Granite District","722","16","2.2%","<5","<5","42","<5 student cases"
"Logan High","Logan City District","1548","15","1%","6","7","60","0.4%"
"Green Canyon High School","Cache District","1584","15","0.9%","7","7","65","0.4%"
"Providence Hall","Salt Lake County - Charter","2065","15","0.7%","<5","<5","96","<5 student cases"
"Butler Middle","Canyons District","915","15","1.6%","<5","<5","33","<5 student cases"
"Bountiful High","Davis District","1347","14","1%","6","7","87","0.4%"
"Pleasant Grove High","Alpine District","2274","14","0.6%","<5","<5","56","<5 student cases"
"East High","Salt Lake District","2007","14","0.7%","<5","<5","56","<5 student cases"
"Endeavour School","Davis District","796","13","1.6%","10","14","76","1.3%"
"Scott M Matheson Jr High","Granite District","1206","13","1.1%","<5","<5","27","<5 student cases"
"Fairfield Jr High","Davis District","955","13","1.4%","<5","<5","38","<5 student cases"
"Springville High","Nebo District","1523","12","0.8%","<5","<5","42","<5 student cases"
"North Point School","Alpine District","701","12","1.7%","<5","<5","38","<5 student cases"
"Utah Virtual Academy","Salt Lake County - Charter","3066","12","0.4%","0","0","<5","0%"
"Weilenmann School of Discovery","Summit County - Charter/Private","581","12","2.1%","<5","<5","31","<5 student cases"
"Centerville Jr High","Davis District","916","12","1.3%","8","9","45","0.9%"
"Gearld Wright School","Granite District","600","12","2%","5","5","26","0.8%"
"Sunset Ridge Middle","Jordan District","1512","12","0.8%","5","5","49","0.3%"
"Jordan Hills School","Jordan District","533","12","2.3%","7","7","49","1.3%"
"Mount Jordan Middle","Canyons District","903","12","1.3%","6","7","37","0.7%"
"Leadership Learning Academy","Davis County - Charter","521","11","2.1%","7","8","26","1.3%"
"Hillside Middle","Salt Lake District","577","11","1.9%","5","5","14","0.9%"
"Bonneville High","Weber District","1399","11","0.8%","8","10","71","0.6%"
"Lakeside School","Davis District","755","11","1.5%","<5","5","65","<5 student cases"
"Eisenhower Jr High","Granite District","1143","11","1%","<5","<5","28","<5 student cases"
"Eastlake School","Jordan District","909","11","1.2%","9","9","70","1%"
"Neil Armstrong Academy","Granite District","710","11","1.5%","<5","<5","33","<5 student cases"
"Indian Hills Middle","Canyons District","1150","10","0.9%","<5","<5","32","<5 student cases"
"American Preparatory Academy - Draper 2","Salt Lake County - Charter","1225","10","0.8%","<5","<5","100","<5 student cases"
"Willow Springs School","Canyons District","682","10","1.5%","<5","5","61","<5 student cases"
"Northwest Middle","Salt Lake District","679","10","1.5%","<5","<5","26","<5 student cases"
"Bella Vista School","Canyons District","242","10","4.1%","5","5","21","2.1%"
"Columbia School","Jordan District","607","10","1.6%","7","7","32","1.2%"
"Wasatch Jr High","Granite District","829","10","1.2%","<5","<5","18","<5 student cases"
"Belmont School","Alpine District","862","10","1.2%","<5","<5","72","<5 student cases"
"Stansbury High","Tooele District","1821","10","0.5%","0","0","29","0%"
"Mountain Creek Middle School","Jordan District","1156","10","0.9%","5","6","49","0.4%"
"Roy Jr High","Weber District","981","10","1%","<5","<5","62","<5 student cases"
"Oakwood School","Granite District","422","10","2.4%","<5","<5","19","<5 student cases"
"Bennion Jr High","Granite District","1107","10","0.9%","<5","6","46","<5 student cases"
"South Jordan Middle","Jordan District","1350","9","0.7%","<5","<5","30","<5 student cases"
"Shoreline Junior High","Davis District","1106","9","0.8%","7","7","56","0.6%"
"Heritage School","Davis District","734","9","1.2%","<5","<5","57","<5 student cases"
"Snow Canyon High","Washington District","1259","9","0.7%","<5","<5","26","<5 student cases"
"Jordan Virtual Learning Academy - Jordan District","Jordan District","Enrollment data not available","9","5+ student cases, no enrollment provided","<5","<5","6","<5 student cases"
"Springville Jr High - Nebo District","Nebo District","Enrollment data not available","9","5+ student cases, no enrollment provided","<5","<5","37","<5 student cases"
"Viewpoint Middle School","Alpine District","Enrollment data not available","9","5+ student cases, no enrollment provided","<5","<5","47","<5 student cases"
"Orion Jr High","Weber District","1070","9","0.8%","6","6","63","0.6%"
"Kearns Jr High","Granite District","580","9","1.6%","<5","<5","34","<5 student cases"
"Morningside School","Granite District","578","9","1.6%","<5","6","30","<5 student cases"
"American Preparatory Academy - Draper 3","Salt Lake County - Charter","749","9","1.2%","<5","<5","22","<5 student cases"
"Vista Heights Middle","Alpine District","1308","9","0.7%","<5","<5","64","<5 student cases"
"Sky View High","Cache District","1439","9","0.6%","<5","5","82","<5 student cases"
"Spectrum Academy","Davis County - Charter","842","9","1.1%","<5","<5","48","<5 student cases"
"Heber Valley School","Wasatch District","433","9","2.1%","0","0","32","0%"
"Joel P. Jensen Middle","Jordan District","882","9","1%","<5","<5","31","<5 student cases"
"West Hills Middle","Jordan District","1369","9","0.7%","5","5","55","0.4%"
"Rose Creek School","Jordan District","806","8","1%","<5","<5","49","<5 student cases"
"Dry Creek School","Alpine District","941","8","0.9%","<5","<5","39","<5 student cases"
"Timpanogos High","Alpine District","1422","8","0.6%","<5","<5","43","<5 student cases"
"Syracuse Jr High","Davis District","1254","8","0.6%","<5","<5","84","<5 student cases"
"Hidden Valley Middle","Jordan District","739","8","1.1%","6","7","29","0.8%"
"Old Mill School","Wasatch District","690","8","1.2%","<5","<5","43","<5 student cases"
"Buffalo Point Elementary","Davis District","837","8","1%","7","7","141","0.8%"
"Orchard School","Davis District","614","8","1.3%","5","6","49","0.8%"
"Sand Ridge Jr High","Weber District","876","8","0.9%","7","8","53","0.8%"
"Maple Ridge School","Nebo District","658","8","1.2%","0","0","26","0%"
"Boulton School","Davis District","366","8","2.2%","7","8","43","1.9%"
"Riverview School","Alpine District","934","8","0.9%","<5","<5","72","<5 student cases"
"Stansbury School","Granite District","769","8","1%","<5","<5","22","<5 student cases"
"Philo T. Farnsworth School","Granite District","527","8","1.5%","0","<5","17","0%"
"John F. Kennedy Jr High","Granite District","687","8","1.2%","0","0","22","0%"
"South Summit High","South Summit District","487","8","1.6%","<5","<5","17","<5 student cases"
"Entheos Academy","Salt Lake County - Charter","569","8","1.4%","<5","<5","41","<5 student cases"
"Timberline Middle","Alpine District","1438","8","0.6%","<5","<5","40","<5 student cases"
"Falcon Ridge School","Jordan District","665","8","1.2%","<5","<5","38","<5 student cases"
"Mountain View High","Alpine District","1397","8","0.6%","<5","<5","40","<5 student cases"
"Butterfield Canyon School","Jordan District","908","8","0.9%","<5","<5","73","<5 student cases"
"Harbor Point Elementary","Alpine District","Enrollment data not available","8","5+ student cases, no enrollment provided","<5","<5","32","<5 student cases"
"Knowlton Elementary","Davis District","553","8","1.4%","5","6","56","0.9%"
"Pleasant Green School","Granite District","442","8","1.8%","<5","<5","19","<5 student cases"
"Bates School","Weber District","771","8","1%","5","5","38","0.6%"
"Antelope Canyon Elementary","Jordan District","582","8","1.4%","<5","<5","34","<5 student cases"
"Mountain Heights Academy","Salt Lake County - Charter","1337","8","0.6%","0","0","5","0%"
"Spanish Fork High","Nebo District","1480","8","0.5%","<5","<5","56","<5 student cases"
"Mueller Park Jr High","Davis District","1038","8","0.8%","6","6","48","0.6%"
"Ridgeline High School","Cache District","1708","8","0.5%","6","8","86","0.4%"
"Emerson School","Salt Lake District","536","7","1.3%","<5","<5","26","<5 student cases"
"Hobble Creek School","Nebo District","667","7","1%","<5","<5","36","<5 student cases"
"Midas Creek School","Jordan District","846","7","0.8%","5","5","59","0.6%"
"Copper Mountain Middle","Jordan District","1083","7","0.6%","<5","<5","39","<5 student cases"
"Silver Crest School","Jordan District","958","7","0.7%","<5","<5","46","<5 student cases"
"Leadership Academy of Utah","Davis County - Charter","485","7","1.4%","<5","<5","5","<5 student cases"
"Salt Lake Center for Science Education","Salt Lake County - Charter","372","7","1.9%","<5","<5","10","<5 student cases"
"Glendale Middle","Salt Lake District","814","7","0.9%","0","0","28","0%"
"Bluffdale School","Jordan District","760","7","0.9%","<5","<5","33","<5 student cases"
"Peruvian Park School","Canyons District","532","7","1.3%","<5","<5","39","<5 student cases"
"North Davis Preparatory Academy","Davis County - Charter","997","7","0.7%","<5","<5","84","<5 student cases"
"American Fork Jr High","Alpine District","1955","7","0.4%","<5","<5","51","<5 student cases"
"Willowcreek Middle","Alpine District","2093","7","0.3%","<5","<5","66","<5 student cases"
"Creekside School","Davis District","565","7","1.2%","6","8","79","1.1%"
"Eaglecrest School","Alpine District","856","7","0.8%","<5","<5","40","<5 student cases"
"Monticello Academy","Salt Lake County - Charter","674","7","1%","<5","<5","45","<5 student cases"
"Granite Park Jr High","Granite District","957","7","0.7%","<5","<5","22","<5 student cases"
"Evergreen Jr High","Granite District","721","7","1%","0","0","23","0%"
"Maple Grove Middle School","Nebo District","Enrollment data not available","7","5+ student cases, no enrollment provided","<5","<5","49","<5 student cases"
"Box Elder High","Box Elder District","1501","7","0.5%","<5","<5","67","<5 student cases"
"Burch Creek School","Weber District","569","7","1.2%","<5","<5","29","<5 student cases"
"Foxboro School","Davis District","587","7","1.2%","<5","6","46","<5 student cases"
"Kaysville School","Davis District","478","7","1.5%","<5","<5","41","<5 student cases"
"Maple Mountain High","Nebo District","1689","7","0.4%","<5","<5","55","<5 student cases"
"Trailside School","Park City District","390","7","1.8%","<5","<5","33","<5 student cases"
"Vista School","Southwest Utah - Charter","1034","7","0.7%","<5","<5","32","<5 student cases"
"Spanish Fork Jr High","Nebo District","1264","7","0.6%","<5","<5","45","<5 student cases"
"Central Davis Jr High","Davis District","898","7","0.8%","<5","6","55","<5 student cases"
"Mary W. Jackson School","Salt Lake District","383","7","1.8%","<5","<5","12","<5 student cases"
"West Jordan Middle","Jordan District","1153","7","0.6%","<5","<5","33","<5 student cases"
"Salt Lake Arts Academy","Salt Lake County - Charter","408","7","1.7%","<5","<5","21","<5 student cases"
"Brookwood School","Canyons District","447","7","1.6%","<5","<5","25","<5 student cases"
"Mount Logan Middle","Logan City District","1167","7","0.6%","<5","6","65","<5 student cases"
"Black Ridge School","Alpine District","1071","7","0.7%","0","0","46","0%"
"Utah County Academy of Science","Utah County - Charter","680","7","1%","<5","<5","21","<5 student cases"
"Park Lane School","Canyons District","364","7","1.9%","0","0","12","0%"
"Kaysville Jr High","Davis District","972","6","0.6%","<5","5","46","<5 student cases"
"Lake Mountain Middle","Alpine District","1341","6","0.4%","<5","<5","34","<5 student cases"
"Ben Lomond High","Ogden City District","1042","6","0.6%","0","<5","61","0%"
"Early Light Academy at Daybreak","Salt Lake County - Charter","952","6","0.6%","<5","<5","34","<5 student cases"
"Sprucewood School","Canyons District","355","6","1.7%","0","0","16","0%"
"Snow Canyon Middle","Washington District","875","6","0.7%","<5","<5","11","<5 student cases"
"Old Mill School","Tooele District","570","6","1.1%","<5","<5","12","<5 student cases"
"Riverton School","Jordan District","622","6","1%","<5","<5","35","<5 student cases"
"Ridge View Elementary","Jordan District","776","6","0.8%","<5","<5","48","<5 student cases"
"Timpanogos Middle School","Wasatch District","942","6","0.6%","<5","<5","63","<5 student cases"
"Fox Hollow School","Alpine District","674","6","0.9%","<5","<5","24","<5 student cases"
"Summit Academy High School","Salt Lake County - Charter","501","6","1.2%","0","<5","16","0%"
"Bountiful School","Davis District","410","6","1.5%","<5","5","34","<5 student cases"
"Hawthorne School","Salt Lake District","390","6","1.5%","<5","<5","19","<5 student cases"
"Hillcrest Jr High","Murray District","840","6","0.7%","<5","<5","29","<5 student cases"
"Oakdale School","Canyons District","371","6","1.6%","<5","<5","22","<5 student cases"
"Grovecrest School","Alpine District","656","6","0.9%","<5","<5","44","<5 student cases"
"Odyssey School","Davis District","521","6","1.2%","<5","5","54","<5 student cases"
"Muir School","Davis District","635","6","0.9%","<5","<5","54","<5 student cases"
"Mountain Crest High","Cache District","1484","6","0.4%","5","7","127","0.3%"
"Jordan Ridge School","Jordan District","758","6","0.8%","5","5","37","0.7%"
"Butler School","Canyons District","615","6","1%","<5","<5","26","<5 student cases"
"West Point Jr High","Davis District","1315","6","0.5%","<5","6","73","<5 student cases"
"Legacy School","Washington District","529","6","1.1%","0","<5","11","0%"
"Ogden High","Ogden City District","1051","6","0.6%","<5","<5","41","<5 student cases"
"Centennial Middle","Provo District","1200","6","0.5%","<5","<5","30","<5 student cases"
"Midland School","Weber District","462","6","1.3%","<5","5","41","<5 student cases"
"Franklin Discovery Academy","Utah County - Charter","621","6","1%","<5","<5","19","<5 student cases"
"Orchard Springs","Weber District","450","6","1.3%","<5","5","31","<5 student cases"
"Soldier Hollow Charter School","Wasatch County - Charter/Private","296","6","2%","0","<5","42","0%"
"Churchill Jr High","Granite District","601","6","1%","<5","<5","28","<5 student cases"
"Utah International Charter School","Salt Lake County - Charter","218","6","2.8%","<5","<5","7","<5 student cases"
"American Preparatory Academy - West Valley 2","Salt Lake County - Charter","Enrollment data not available","6","5+ student cases, no enrollment provided","<5","<5","70","<5 student cases"
"Elk Ridge Middle","Jordan District","1145","6","0.5%","<5","<5","37","<5 student cases"
"Layton School","Davis District","451","6","1.3%","0","<5","37","0%"
"West Point Elementary","Davis District","833","6","0.7%","<5","6","110","<5 student cases"
"Pioneer School","Granite District","496","6","1.2%","<5","<5","12","<5 student cases"
"Hill Field School","Davis District","384","6","1.6%","<5","<5","26","<5 student cases"
"Legacy Jr High","Davis District","1083","6","0.6%","<5","<5","60","<5 student cases"
"Mountain West Montessori Academy","Salt Lake County - Charter","449","6","1.3%","0","0","23","0%"
"James E. Moss School","Granite District","468","6","1.3%","0","0","16","0%"
"Crimson Cliffs High","Washington District","1057","6","0.6%","0","0","22","0%"
"Centennial Elementary","Alpine District","727","6","0.8%","<5","<5","34","<5 student cases"
"Cedar Ridge School","Alpine District","702","6","0.9%","<5","<5","30","<5 student cases"
"Country View School","Weber District","624","6","1%","5","6","30","0.8%"
"David Gourley School","Granite District","575","6","1%","0","0","8","0%"
"Horizon School","Murray District","652","6","0.9%","<5","<5","30","<5 student cases"
"South Summit School","South Summit District","522","6","1.1%","0","0","11","0%"
"Bennion School","Granite District","586","6","1%","<5","<5","11","<5 student cases"
"Canyon Grove Academy","Utah County - Charter","631","6","1%","0","0","12","0%"
"Canyon View Jr High","Alpine District","1207","6","0.5%","<5","<5","28","<5 student cases"
"Riverview Jr High","Murray District","667","6","0.9%","<5","<5","17","<5 student cases"
"Pleasant Grove Jr High","Alpine District","1355","6","0.4%","0","0","32","0%"
"North Davis Jr High","Davis District","844","6","0.7%","<5","6","76","<5 student cases"
"Copper Canyon School","Jordan District","646","6","0.9%","<5","<5","50","<5 student cases"
"Silver Mesa School","Canyons District","587","6","1%","<5","<5","51","<5 student cases"
"Hawthorn Academy","Salt Lake County - Charter","764","6","0.8%","0","0","27","0%"
"Wallace Stegner Academy","Salt Lake County - Charter","793","6","0.8%","0","0","54","0%"
"Morgan High","Morgan District","1042","6","0.6%","0","0","21","0%"
"South Cache Middle School","Cache District","1022","5","0.5%","<5","<5","50","<5 student cases"
"Eastmont Middle","Canyons District","674","5","0.7%","<5","<5","30","<5 student cases"
"Orchard School","Alpine District","659","5","0.8%","0","0","43","0%"
"Draper School","Canyons District","693","5","0.7%","0","0","30","0%"
"North Layton Jr High","Davis District","939","5","0.5%","<5","<5","55","<5 student cases"
"Aspen Elementary","Jordan District","Enrollment data not available","5","5+ student cases, no enrollment provided","<5","<5","46","<5 student cases"
"South Jordan School","Jordan District","968","5","0.5%","<5","<5","62","<5 student cases"
"Lone Peak School","Canyons District","633","5","0.8%","<5","<5","34","<5 student cases"
"Stewart School","Davis District","577","5","0.9%","<5","<5","54","<5 student cases"
"Paradigm High School","Salt Lake County - Charter","380","5","1.3%","0","0","16","0%"
"Athlos Academy of Utah","Salt Lake County - Charter","611","5","0.8%","<5","<5","24","<5 student cases"
"American Preparatory Academy - West Valley 1","Salt Lake County - Charter","615","5","0.8%","<5","<5","46","<5 student cases"
"American Preparatory Academy - Draper 1","Salt Lake County - Charter","656","5","0.8%","<5","<5","48","<5 student cases"
"Herriman School","Jordan District","955","5","0.5%","5","5","82","0.5%"
"Valley View School","Davis District","375","5","1.3%","<5","<5","27","<5 student cases"
"Frontier Middle School","Alpine District","1426","5","0.4%","<5","<5","71","<5 student cases"
"Bear River High","Box Elder District","1102","5","0.5%","<5","<5","60","<5 student cases"
"Clayton Middle","Salt Lake District","665","5","0.8%","<5","<5","18","<5 student cases"
"Whittier School","Granite District","472","5","1.1%","<5","<5","19","<5 student cases"
"Innovations High School","Salt Lake District","289","5","1.7%","0","0","9","0%"
"Intech Collegiate Academy","Bear River - Charter","199","5","2.5%","<5","<5","<5","<5 student cases"
"Thomas Edison","Bear River - Charter","498","5","1%","<5","<5","24","<5 student cases"
"Beacon Heights School","Salt Lake District","367","5","1.4%","0","<5","15","0%"
"Mountain View School","Davis District","643","5","0.8%","<5","7","89","<5 student cases"
"Davinci Academy","Weber-Morgan - Charter","1283","5","0.4%","0","0","39","0%"
"Midvalley School","Canyons District","437","5","1.1%","<5","<5","27","<5 student cases"
"Kay's Creek School","Davis District","605","5","0.8%","<5","<5","61","<5 student cases"
"Parkside School","Davis District","422","5","1.2%","<5","<5","36","<5 student cases"
"Mana Academy Charter School","Salt Lake County - Charter","315","5","1.6%","0","0","<5","0%"
"Sand Springs School","Davis District","728","5","0.7%","<5","<5","53","<5 student cases"
"Millcreek Jr High","Davis District","656","5","0.8%","<5","<5","24","<5 student cases"
"Highmark Charter School","Davis County - Charter","659","5","0.8%","5","7","46","0.8%"
"Sunburst School","Davis District","669","5","0.7%","<5","<5","39","<5 student cases"
"Wallace Stegner Academy - West Valley","Salt Lake County - Charter","Enrollment data not available","5","5+ student cases, no enrollment provided","0","0","19","0%"
"No. UT. Acad. for Math Engineering & Science (NUAMES - Davis)","Davis County - Charter","730","5","0.7%","<5","<5","28","<5 student cases"
"Arcadia School","Granite District","533","5","0.9%","<5","<5","15","<5 student cases"
"Liberty Hills Elementary","Alpine District","532","5","0.9%","0","0","36","0%"
"Elk Run Elementary","Granite District","652","5","0.8%","5","7","31","0.8%"
"Syracuse Arts Academy -north","Davis County - Charter","748","5","0.7%","<5","<5","54","<5 student cases"
"Mapleton Junior High","Nebo District","1252","5","0.4%","<5","<5","30","<5 student cases"
"Majestic School","Weber District","752","5","0.7%","<5","<5","37","<5 student cases"
"West Kearns School","Granite District","684","5","0.7%","<5","<5","38","<5 student cases"
"Meadowlark School","Salt Lake District","370","5","1.4%","<5","<5","16","<5 student cases"
"West Bountiful School","Davis District","576","5","0.9%","<5","5","50","<5 student cases"
"Helen M. Knight School","Grand District","686","5","0.7%","<5","<5","29","<5 student cases"
"Silver Lake Elementary","Alpine District","601","5","0.8%","<5","<5","28","<5 student cases"
"Mountain Ridge Jr High","Alpine District","1160","5","0.4%","<5","<5","21","<5 student cases"
"Rees School","Nebo District","500","5","1%","0","<5","37","0%"
"Hunter Jr High","Granite District","825","5","0.6%","0","0","23","0%"
"Union Middle","Canyons District","838","5","0.6%","<5","<5","39","<5 student cases"
"Grant School","Murray District","335","5","1.5%","<5","<5","24","<5 student cases"
"Majestic Fields Elementary","Washington District","571","5","0.9%","<5","<5","16","<5 student cases"
"Navigator Pointe Academy","Salt Lake County - Charter","447","5","1.1%","<5","<5","32","<5 student cases"
"Springside School","Alpine District","871","5","0.6%","<5","<5","42","<5 student cases"
"Cedar City High","Iron District","1267","5","0.4%","0","0","40","0%"
"Centennial Jr High","Davis District","936","5","0.5%","<5","<5","42","<5 student cases"
"Carbon High","Carbon District","988","5","0.5%","<5","<5","50","<5 student cases"
"Midvale School","Canyons District","686","5","0.7%","<5","<5","26","<5 student cases"
"Rocky Mountain Middle","Wasatch District","692","5","0.7%","0","0","42","0%"
"H C Burton School","Davis District","619","5","0.8%","0","0","128","0%"
"Terra Linda School","Jordan District","513","5","1%","<5","<5","21","<5 student cases"
"Itineris Early College High","Salt Lake County - Charter","395","5","1.3%","<5","<5","11","<5 student cases"
"American Leadership Academy","Utah County - Charter","1652","5","0.3%","<5","<5","51","<5 student cases"
"Heritage School","Cache District","734","5","0.7%","<5","<5","44","<5 student cases"
"Canyons Transition Academy/Canyons Virtual High","Canyons District","49","5","10.2%","<5","<5","<5","<5 student cases"
"Lakeridge Jr High","Alpine District","1197","5","0.4%","0","0","39","0%"
"Millville School","Cache District","454","5","1.1%","<5","5","32","<5 student cases"
"Freedom School","Alpine District","816","<5","<5 student cases","<5","<5","38","<5 student cases"
"Payson High","Nebo District","1612","<5","<5 student cases","<5","<5","69","<5 student cases"
"Highland School","Alpine District","725","<5","<5 student cases","<5","<5","24","<5 student cases"
"Morgan Middle","Morgan District","546","<5","<5 student cases","<5","<5","21","<5 student cases"
"Cook School","Davis District","735","<5","<5 student cases","<5","5","103","<5 student cases"
"Oak Hills School","Davis District","433","<5","<5 student cases","<5","<5","50","<5 student cases"
"Excelsior Academy","Tooele County - Charter/Private","1332","<5","<5 student cases","0","<5","50","0%"
"Thomas Edison - South","Bear River - Charter","650","<5","<5 student cases","<5","<5","21","<5 student cases"
"Open Classroom","Salt Lake County - Charter","312","<5","<5 student cases","<5","<5","14","<5 student cases"
"South Hills Middle","Jordan District","893","<5","<5 student cases","<5","<5","54","<5 student cases"
"Channing Hall","Salt Lake County - Charter","579","<5","<5 student cases","<5","<5","38","<5 student cases"
"Blackridge School","Jordan District","968","<5","<5 student cases","<5","<5","100","<5 student cases"
"Orchard Hills School","Nebo District","471","<5","<5 student cases","<5","<5","21","<5 student cases"
"Salem Hills High","Nebo District","1422","<5","<5 student cases","<5","<5","46","<5 student cases"
"Sunrise School","Canyons District","669","<5","<5 student cases","<5","<5","40","<5 student cases"
"T.H. Bell Jr High","Weber District","662","<5","<5 student cases","<5","<5","31","<5 student cases"
"Canyon View High","Iron District","1096","<5","<5 student cases","<5","<5","35","<5 student cases"
"Northridge School","Alpine District","622","<5","<5 student cases","<5","<5","21","<5 student cases"
"Highland Park School","Salt Lake District","533","<5","<5 student cases","<5","5","30","<5 student cases"
"Spring Lake School","Nebo District","514","<5","<5 student cases","<5","<5","19","<5 student cases"
"Ridgecrest School","Canyons District","516","<5","<5 student cases","<5","6","26","<5 student cases"
"Canyon View Middle","Iron District","879","<5","<5 student cases","0","<5","40","0%"
"Summit Academy","Salt Lake County - Charter","500","<5","<5 student cases","<5","<5","16","<5 student cases"
"Mountainville Academy","Utah County - Charter","643","<5","<5 student cases","<5","<5","18","<5 student cases"
"Dilworth School","Salt Lake District","473","<5","<5 student cases","<5","<5","21","<5 student cases"
"Crestview School","Granite District","520","<5","<5 student cases","0","0","25","0%"
"Harvest Elementary","Alpine District","943","<5","<5 student cases","<5","<5","63","<5 student cases"
"Westvale School","Jordan District","523","<5","<5 student cases","<5","<5","28","<5 student cases"
"Rosecrest School","Granite District","325","<5","<5 student cases","<5","<5","15","<5 student cases"
"Cherry Hill School","Alpine District","670","<5","<5 student cases","0","0","28","0%"
"Traverse Mountain School","Alpine District","678","<5","<5 student cases","<5","<5","52","<5 student cases"
"Maria Montessori Academy","Weber-Morgan - Charter","322","<5","<5 student cases","<5","<5","17","<5 student cases"
"Hidden Hollow School","Alpine District","997","<5","<5 student cases","<5","<5","60","<5 student cases"
"Wahlquist Jr High","Weber District","1233","<5","<5 student cases","<5","<5","42","<5 student cases"
"Wasatch School","Davis District","347","<5","<5 student cases","<5","<5","37","<5 student cases"
"Albion Middle","Canyons District","963","<5","<5 student cases","<5","<5","38","<5 student cases"
"Nibley Park School","Salt Lake District","355","<5","<5 student cases","<5","<5","15","<5 student cases"
"Legacy School","Alpine District","751","<5","<5 student cases","<5","<5","38","<5 student cases"
