"Test Date","Test Type","Result","Count","Daily Positive Tests","Daily People Tested"
2020-04-11,"PCR/amplification","NEGATIVE",1364,75,1439
2020-04-11,"PCR/amplification","POSITIVE",75,75,1439
2020-04-12,"Antigen by DFA/IF","NEGATIVE",4,45,795
2020-04-12,"PCR/amplification","NEGATIVE",746,45,795
2020-04-12,"PCR/amplification","POSITIVE",45,45,795
2020-04-13,"PCR/amplification","NEGATIVE",1606,63,1669
2020-04-13,"PCR/amplification","POSITIVE",63,63,1669
2020-04-14,"PCR/amplification","NEGATIVE",2889,162,3051
2020-04-14,"PCR/amplification","POSITIVE",162,162,3051
2020-04-15,"PCR/amplification","NEGATIVE",2834,158,2992
2020-04-15,"PCR/amplification","POSITIVE",158,158,2992
2020-04-16,"PCR/amplification","NEGATIVE",3925,114,4039
2020-04-16,"PCR/amplification","POSITIVE",114,114,4039
2020-04-17,"Antigen by DFA/IF","NEGATIVE",2,180,4426
2020-04-17,"PCR/amplification","NEGATIVE",4244,180,4426
2020-04-17,"PCR/amplification","POSITIVE",180,180,4426
2020-04-18,"PCR/amplification","NEGATIVE",4015,118,4133
2020-04-18,"PCR/amplification","POSITIVE",118,118,4133
2020-04-19,"PCR/amplification","NEGATIVE",2919,87,3006
2020-04-19,"PCR/amplification","POSITIVE",87,87,3006
2020-04-20,"Antigen by DFA/IF","NEGATIVE",2,158,5461
2020-04-20,"PCR/amplification","NEGATIVE",5301,158,5461
2020-04-20,"PCR/amplification","POSITIVE",158,158,5461
2020-04-21,"PCR/amplification","NEGATIVE",4678,164,4842
2020-04-21,"PCR/amplification","POSITIVE",164,164,4842
2020-04-22,"PCR/amplification","NEGATIVE",5165,142,5307
2020-04-22,"PCR/amplification","POSITIVE",142,142,5307
2020-04-23,"PCR/amplification","NEGATIVE",4175,146,4321
2020-04-23,"PCR/amplification","POSITIVE",146,146,4321
2020-04-24,"PCR/amplification","NEGATIVE",4189,173,4362
2020-04-24,"PCR/amplification","POSITIVE",173,173,4362
2020-04-25,"PCR/amplification","NEGATIVE",3871,156,4027
2020-04-25,"PCR/amplification","POSITIVE",156,156,4027
2020-04-26,"PCR/amplification","NEGATIVE",2075,81,2156
2020-04-26,"PCR/amplification","POSITIVE",81,81,2156
2020-04-27,"PCR/amplification","NEGATIVE",3307,130,3437
2020-04-27,"PCR/amplification","POSITIVE",130,130,3437
2020-04-28,"Antigen by DFA/IF","NEGATIVE",1,173,4208
2020-04-28,"PCR/amplification","NEGATIVE",4034,173,4208
2020-04-28,"PCR/amplification","POSITIVE",173,173,4208
2020-04-29,"Antigen by DFA/IF","NEGATIVE",1,136,3678
2020-04-29,"PCR/amplification","NEGATIVE",3541,136,3678
2020-04-29,"PCR/amplification","POSITIVE",136,136,3678
2020-04-30,"PCR/amplification","NEGATIVE",3152,148,3300
2020-04-30,"PCR/amplification","POSITIVE",148,148,3300
2020-05-01,"PCR/amplification","NEGATIVE",5025,208,5233
2020-05-01,"PCR/amplification","POSITIVE",208,208,5233
2020-05-02,"PCR/amplification","NEGATIVE",2899,142,3041
2020-05-02,"PCR/amplification","POSITIVE",142,142,3041
2020-05-03,"PCR/amplification","NEGATIVE",3067,177,3244
2020-05-03,"PCR/amplification","POSITIVE",177,177,3244
2020-05-04,"PCR/amplification","NEGATIVE",2779,144,2923
2020-05-04,"PCR/amplification","POSITIVE",144,144,2923
2020-05-05,"PCR/amplification","NEGATIVE",4004,143,4147
2020-05-05,"PCR/amplification","POSITIVE",143,143,4147
2020-05-06,"PCR/amplification","NEGATIVE",4312,161,4473
2020-05-06,"PCR/amplification","POSITIVE",161,161,4473
2020-05-07,"PCR/amplification","NEGATIVE",4178,185,4363
2020-05-07,"PCR/amplification","POSITIVE",185,185,4363
2020-05-08,"PCR/amplification","NEGATIVE",3981,172,4153
2020-05-08,"PCR/amplification","POSITIVE",172,172,4153
2020-05-09,"PCR/amplification","NEGATIVE",2460,139,2599
2020-05-09,"PCR/amplification","POSITIVE",139,139,2599
2020-05-10,"PCR/amplification","NEGATIVE",1712,77,1789
2020-05-10,"PCR/amplification","POSITIVE",77,77,1789
2020-05-11,"PCR/amplification","NEGATIVE",2758,94,2852
2020-05-11,"PCR/amplification","POSITIVE",94,94,2852
2020-05-12,"PCR/amplification","NEGATIVE",3898,185,4083
2020-05-12,"PCR/amplification","POSITIVE",185,185,4083
2020-05-13,"PCR/amplification","NEGATIVE",2932,148,3080
2020-05-13,"PCR/amplification","POSITIVE",148,148,3080
2020-05-14,"PCR/amplification","NEGATIVE",3261,167,3428
2020-05-14,"Antigen by DFA/IF","POSITIVE",1,167,3428
2020-05-14,"PCR/amplification","POSITIVE",166,167,3428
2020-05-15,"PCR/amplification","NEGATIVE",3158,159,3317
2020-05-15,"PCR/amplification","POSITIVE",159,159,3317
2020-05-16,"PCR/amplification","NEGATIVE",3254,159,3413
2020-05-16,"PCR/amplification","POSITIVE",159,159,3413
2020-05-17,"PCR/amplification","NEGATIVE",2548,127,2675
2020-05-17,"PCR/amplification","POSITIVE",127,127,2675
2020-05-18,"PCR/amplification","NEGATIVE",3176,202,3378
2020-05-18,"PCR/amplification","POSITIVE",202,202,3378
2020-05-19,"PCR/amplification","NEGATIVE",3422,191,3613
2020-05-19,"PCR/amplification","POSITIVE",191,191,3613
2020-05-20,"PCR/amplification","NEGATIVE",3047,167,3214
2020-05-20,"PCR/amplification","POSITIVE",167,167,3214
2020-05-21,"PCR/amplification","NEGATIVE",3058,172,3230
2020-05-21,"PCR/amplification","POSITIVE",172,172,3230
2020-05-22,"PCR/amplification","NEGATIVE",3323,171,3494
2020-05-22,"PCR/amplification","POSITIVE",171,171,3494
2020-05-23,"PCR/amplification","NEGATIVE",3220,137,3357
2020-05-23,"PCR/amplification","POSITIVE",137,137,3357
2020-05-24,"PCR/amplification","NEGATIVE",2044,101,2145
2020-05-24,"PCR/amplification","POSITIVE",101,101,2145
2020-05-25,"PCR/amplification","NEGATIVE",1697,133,1830
2020-05-25,"PCR/amplification","POSITIVE",133,133,1830
2020-05-26,"PCR/amplification","NEGATIVE",2521,210,2731
2020-05-26,"PCR/amplification","POSITIVE",210,210,2731
2020-05-27,"PCR/amplification","NEGATIVE",3143,284,3427
2020-05-27,"PCR/amplification","POSITIVE",284,284,3427
2020-05-28,"PCR/amplification","NEGATIVE",2784,263,3047
2020-05-28,"PCR/amplification","POSITIVE",263,263,3047
2020-05-29,"PCR/amplification","NEGATIVE",3906,297,4203
2020-05-29,"PCR/amplification","POSITIVE",297,297,4203
2020-05-30,"PCR/amplification","NEGATIVE",3644,231,3875
2020-05-30,"PCR/amplification","POSITIVE",231,231,3875
2020-05-31,"PCR/amplification","NEGATIVE",2772,167,2939
2020-05-31,"PCR/amplification","POSITIVE",167,167,2939
2020-06-01,"PCR/amplification","NEGATIVE",3601,308,3909
2020-06-01,"PCR/amplification","POSITIVE",308,308,3909
2020-06-02,"PCR/amplification","NEGATIVE",3102,277,3379
2020-06-02,"PCR/amplification","POSITIVE",277,277,3379
2020-06-03,"PCR/amplification","NEGATIVE",3550,362,3912
2020-06-03,"PCR/amplification","POSITIVE",362,362,3912
2020-06-04,"PCR/amplification","NEGATIVE",3286,416,3702
2020-06-04,"PCR/amplification","POSITIVE",416,416,3702
2020-06-05,"Antigen by DFA/IF","NEGATIVE",4,583,4911
2020-06-05,"PCR/amplification","NEGATIVE",4324,583,4911
2020-06-05,"PCR/amplification","POSITIVE",583,583,4911
2020-06-06,"Antigen by DFA/IF","NEGATIVE",5,292,3797
2020-06-06,"PCR/amplification","NEGATIVE",3500,292,3797
2020-06-06,"PCR/amplification","POSITIVE",292,292,3797
2020-06-07,"PCR/amplification","NEGATIVE",2612,193,2805
2020-06-07,"PCR/amplification","POSITIVE",193,193,2805
2020-06-08,"PCR/amplification","NEGATIVE",3905,374,4279
2020-06-08,"PCR/amplification","POSITIVE",374,374,4279
2020-06-09,"PCR/amplification","NEGATIVE",4784,414,5198
2020-06-09,"PCR/amplification","POSITIVE",414,414,5198
2020-06-10,"PCR/amplification","NEGATIVE",3957,368,4325
2020-06-10,"Antigen by DFA/IF","POSITIVE",3,368,4325
2020-06-10,"PCR/amplification","POSITIVE",365,368,4325
2020-06-11,"PCR/amplification","NEGATIVE",3450,341,3791
2020-06-11,"Antigen by DFA/IF","POSITIVE",2,341,3791
2020-06-11,"PCR/amplification","POSITIVE",339,341,3791
2020-06-12,"Antigen by DFA/IF","NEGATIVE",1,413,4926
2020-06-12,"PCR/amplification","NEGATIVE",4512,413,4926
2020-06-12,"PCR/amplification","POSITIVE",413,413,4926
2020-06-13,"PCR/amplification","NEGATIVE",3880,324,4204
2020-06-13,"PCR/amplification","POSITIVE",324,324,4204
2020-06-14,"PCR/amplification","NEGATIVE",3263,308,3571
2020-06-14,"PCR/amplification","POSITIVE",308,308,3571
2020-06-15,"Antigen by DFA/IF","NEGATIVE",12,429,4225
2020-06-15,"PCR/amplification","NEGATIVE",3784,429,4225
2020-06-15,"Antigen by DFA/IF","POSITIVE",3,429,4225
2020-06-15,"PCR/amplification","POSITIVE",426,429,4225
2020-06-16,"Antigen by DFA/IF","NEGATIVE",4,479,3948
2020-06-16,"PCR/amplification","NEGATIVE",3465,479,3948
2020-06-16,"Antigen by DFA/IF","POSITIVE",4,479,3948
2020-06-16,"PCR/amplification","POSITIVE",475,479,3948
2020-06-17,"Antigen by DFA/IF","NEGATIVE",13,527,4129
2020-06-17,"PCR/amplification","NEGATIVE",3589,527,4129
2020-06-17,"PCR/amplification","POSITIVE",527,527,4129
2020-06-18,"Antigen by DFA/IF","NEGATIVE",9,513,5222
2020-06-18,"PCR/amplification","NEGATIVE",4700,513,5222
2020-06-18,"Antigen by DFA/IF","POSITIVE",2,513,5222
2020-06-18,"PCR/amplification","POSITIVE",511,513,5222
2020-06-19,"Antigen by DFA/IF","NEGATIVE",3,577,5478
2020-06-19,"PCR/amplification","NEGATIVE",4898,577,5478
2020-06-19,"Antigen by DFA/IF","POSITIVE",4,577,5478
2020-06-19,"PCR/amplification","POSITIVE",573,577,5478
2020-06-20,"Antigen by DFA/IF","NEGATIVE",1,462,4863
2020-06-20,"PCR/amplification","NEGATIVE",4400,462,4863
2020-06-20,"Antigen by DFA/IF","POSITIVE",1,462,4863
2020-06-20,"PCR/amplification","POSITIVE",461,462,4863
2020-06-21,"PCR/amplification","NEGATIVE",3396,318,3714
2020-06-21,"PCR/amplification","POSITIVE",318,318,3714
2020-06-22,"Antigen by DFA/IF","NEGATIVE",16,531,4846
2020-06-22,"PCR/amplification","NEGATIVE",4299,531,4846
2020-06-22,"Antigen by DFA/IF","POSITIVE",2,531,4846
2020-06-22,"PCR/amplification","POSITIVE",529,531,4846
2020-06-23,"Antigen by DFA/IF","NEGATIVE",2,567,5214
2020-06-23,"PCR/amplification","NEGATIVE",4645,567,5214
2020-06-23,"Antigen by DFA/IF","POSITIVE",1,567,5214
2020-06-23,"PCR/amplification","POSITIVE",566,567,5214
2020-06-24,"Antigen by DFA/IF","NEGATIVE",27,637,5822
2020-06-24,"PCR/amplification","NEGATIVE",5158,637,5822
2020-06-24,"Antigen by DFA/IF","POSITIVE",3,637,5822
2020-06-24,"PCR/amplification","POSITIVE",634,637,5822
2020-06-25,"Antigen by DFA/IF","NEGATIVE",19,573,5084
2020-06-25,"PCR/amplification","NEGATIVE",4492,573,5084
2020-06-25,"Antigen by DFA/IF","POSITIVE",1,573,5084
2020-06-25,"PCR/amplification","POSITIVE",572,573,5084
2020-06-26,"Antigen by DFA/IF","NEGATIVE",8,640,6551
2020-06-26,"PCR/amplification","NEGATIVE",5903,640,6551
2020-06-26,"PCR/amplification","POSITIVE",640,640,6551
2020-06-27,"PCR/amplification","NEGATIVE",5456,441,5897
2020-06-27,"Antigen by DFA/IF","POSITIVE",2,441,5897
2020-06-27,"PCR/amplification","POSITIVE",439,441,5897
2020-06-28,"PCR/amplification","NEGATIVE",5173,497,5670
2020-06-28,"Antigen by DFA/IF","POSITIVE",1,497,5670
2020-06-28,"PCR/amplification","POSITIVE",496,497,5670
2020-06-29,"PCR/amplification","NEGATIVE",5174,720,5894
2020-06-29,"Antigen by DFA/IF","POSITIVE",3,720,5894
2020-06-29,"PCR/amplification","POSITIVE",717,720,5894
2020-06-30,"Antigen by DFA/IF","NEGATIVE",27,579,5368
2020-06-30,"PCR/amplification","NEGATIVE",4762,579,5368
2020-06-30,"Antigen by DFA/IF","POSITIVE",4,579,5368
2020-06-30,"PCR/amplification","POSITIVE",575,579,5368
2020-07-01,"Antigen by DFA/IF","NEGATIVE",8,650,6370
2020-07-01,"PCR/amplification","NEGATIVE",5712,650,6370
2020-07-01,"Antigen by DFA/IF","POSITIVE",8,650,6370
2020-07-01,"PCR/amplification","POSITIVE",642,650,6370
2020-07-02,"Antigen by DFA/IF","NEGATIVE",24,625,6443
2020-07-02,"PCR/amplification","NEGATIVE",5794,625,6443
2020-07-02,"Antigen by DFA/IF","POSITIVE",5,625,6443
2020-07-02,"PCR/amplification","POSITIVE",620,625,6443
2020-07-03,"Antigen by DFA/IF","NEGATIVE",17,562,5966
2020-07-03,"PCR/amplification","NEGATIVE",5387,562,5966
2020-07-03,"Antigen by DFA/IF","POSITIVE",8,562,5966
2020-07-03,"PCR/amplification","POSITIVE",554,562,5966
2020-07-04,"PCR/amplification","NEGATIVE",3078,332,3410
2020-07-04,"Antigen by DFA/IF","POSITIVE",5,332,3410
2020-07-04,"PCR/amplification","POSITIVE",327,332,3410
2020-07-05,"PCR/amplification","NEGATIVE",3025,348,3373
2020-07-05,"Antigen by DFA/IF","POSITIVE",33,348,3373
2020-07-05,"PCR/amplification","POSITIVE",315,348,3373
2020-07-06,"Antigen by DFA/IF","NEGATIVE",10,694,6135
2020-07-06,"PCR/amplification","NEGATIVE",5431,694,6135
2020-07-06,"Antigen by DFA/IF","POSITIVE",14,694,6135
2020-07-06,"PCR/amplification","POSITIVE",680,694,6135
2020-07-07,"Antigen by DFA/IF","NEGATIVE",13,720,5717
2020-07-07,"PCR/amplification","NEGATIVE",4984,720,5717
2020-07-07,"Antigen by DFA/IF","POSITIVE",18,720,5717
2020-07-07,"PCR/amplification","POSITIVE",702,720,5717
2020-07-08,"Antigen by DFA/IF","NEGATIVE",10,708,6034
2020-07-08,"PCR/amplification","NEGATIVE",5316,708,6034
2020-07-08,"Antigen by DFA/IF","POSITIVE",16,708,6034
2020-07-08,"PCR/amplification","POSITIVE",692,708,6034
2020-07-09,"Antigen by DFA/IF","NEGATIVE",58,664,6611
2020-07-09,"PCR/amplification","NEGATIVE",5889,664,6611
2020-07-09,"PCR/amplification","POSITIVE",664,664,6611
2020-07-10,"Antigen by DFA/IF","NEGATIVE",28,700,6920
2020-07-10,"PCR/amplification","NEGATIVE",6192,700,6920
2020-07-10,"Antigen by DFA/IF","POSITIVE",19,700,6920
2020-07-10,"PCR/amplification","POSITIVE",681,700,6920
2020-07-11,"Antigen by DFA/IF","NEGATIVE",15,558,5964
2020-07-11,"PCR/amplification","NEGATIVE",5391,558,5964
2020-07-11,"Antigen by DFA/IF","POSITIVE",12,558,5964
2020-07-11,"PCR/amplification","POSITIVE",546,558,5964
2020-07-12,"Antigen by DFA/IF","NEGATIVE",1,404,4819
2020-07-12,"PCR/amplification","NEGATIVE",4414,404,4819
2020-07-12,"Antigen by DFA/IF","POSITIVE",12,404,4819
2020-07-12,"PCR/amplification","POSITIVE",392,404,4819
2020-07-13,"Antigen by DFA/IF","NEGATIVE",28,749,8059
2020-07-13,"PCR/amplification","NEGATIVE",7282,749,8059
2020-07-13,"Antigen by DFA/IF","POSITIVE",59,749,8059
2020-07-13,"PCR/amplification","POSITIVE",690,749,8059
2020-07-14,"Antigen by DFA/IF","NEGATIVE",20,646,6697
2020-07-14,"PCR/amplification","NEGATIVE",6031,646,6697
2020-07-14,"Antigen by DFA/IF","POSITIVE",24,646,6697
2020-07-14,"PCR/amplification","POSITIVE",622,646,6697
2020-07-15,"Antigen by DFA/IF","NEGATIVE",19,688,7395
2020-07-15,"PCR/amplification","NEGATIVE",6688,688,7395
2020-07-15,"Antigen by DFA/IF","POSITIVE",25,688,7395
2020-07-15,"PCR/amplification","POSITIVE",663,688,7395
2020-07-16,"Antigen by DFA/IF","NEGATIVE",15,744,7077
2020-07-16,"PCR/amplification","NEGATIVE",6318,744,7077
2020-07-16,"Antigen by DFA/IF","POSITIVE",11,744,7077
2020-07-16,"PCR/amplification","POSITIVE",733,744,7077
2020-07-17,"Antigen by DFA/IF","NEGATIVE",28,583,6598
2020-07-17,"PCR/amplification","NEGATIVE",5987,583,6598
2020-07-17,"Antigen by DFA/IF","POSITIVE",16,583,6598
2020-07-17,"PCR/amplification","POSITIVE",567,583,6598
2020-07-18,"Antigen by DFA/IF","NEGATIVE",14,455,5369
2020-07-18,"PCR/amplification","NEGATIVE",4900,455,5369
2020-07-18,"Antigen by DFA/IF","POSITIVE",3,455,5369
2020-07-18,"PCR/amplification","POSITIVE",452,455,5369
2020-07-19,"Antigen by DFA/IF","NEGATIVE",4,415,4814
2020-07-19,"PCR/amplification","NEGATIVE",4395,415,4814
2020-07-19,"Antigen by DFA/IF","POSITIVE",5,415,4814
2020-07-19,"PCR/amplification","POSITIVE",410,415,4814
2020-07-20,"Antigen by DFA/IF","NEGATIVE",40,576,5654
2020-07-20,"PCR/amplification","NEGATIVE",5038,576,5654
2020-07-20,"Antigen by DFA/IF","POSITIVE",17,576,5654
2020-07-20,"PCR/amplification","POSITIVE",559,576,5654
2020-07-21,"Antigen by DFA/IF","NEGATIVE",24,619,6131
2020-07-21,"PCR/amplification","NEGATIVE",5488,619,6131
2020-07-21,"Antigen by DFA/IF","POSITIVE",15,619,6131
2020-07-21,"PCR/amplification","POSITIVE",604,619,6131
2020-07-22,"Antigen by DFA/IF","NEGATIVE",44,674,6445
2020-07-22,"PCR/amplification","NEGATIVE",5727,674,6445
2020-07-22,"Antigen by DFA/IF","POSITIVE",18,674,6445
2020-07-22,"PCR/amplification","POSITIVE",656,674,6445
2020-07-23,"Antigen by DFA/IF","NEGATIVE",69,612,6144
2020-07-23,"PCR/amplification","NEGATIVE",5463,612,6144
2020-07-23,"Antigen by DFA/IF","POSITIVE",17,612,6144
2020-07-23,"PCR/amplification","POSITIVE",595,612,6144
2020-07-24,"Antigen by DFA/IF","NEGATIVE",37,598,6124
2020-07-24,"PCR/amplification","NEGATIVE",5489,598,6124
2020-07-24,"Antigen by DFA/IF","POSITIVE",7,598,6124
2020-07-24,"PCR/amplification","POSITIVE",591,598,6124
2020-07-25,"Antigen by DFA/IF","NEGATIVE",54,313,3834
2020-07-25,"PCR/amplification","NEGATIVE",3467,313,3834
2020-07-25,"Antigen by DFA/IF","POSITIVE",10,313,3834
2020-07-25,"PCR/amplification","POSITIVE",303,313,3834
2020-07-26,"Antigen by DFA/IF","NEGATIVE",13,406,4111
2020-07-26,"PCR/amplification","NEGATIVE",3692,406,4111
2020-07-26,"Antigen by DFA/IF","POSITIVE",5,406,4111
2020-07-26,"PCR/amplification","POSITIVE",401,406,4111
2020-07-27,"Antigen by DFA/IF","NEGATIVE",93,505,5024
2020-07-27,"PCR/amplification","NEGATIVE",4426,505,5024
2020-07-27,"Antigen by DFA/IF","POSITIVE",17,505,5024
2020-07-27,"PCR/amplification","POSITIVE",488,505,5024
2020-07-28,"Antigen by DFA/IF","NEGATIVE",54,475,5305
2020-07-28,"PCR/amplification","NEGATIVE",4776,475,5305
2020-07-28,"Antigen by DFA/IF","POSITIVE",16,475,5305
2020-07-28,"PCR/amplification","POSITIVE",459,475,5305
2020-07-29,"Antigen by DFA/IF","NEGATIVE",33,600,5118
2020-07-29,"PCR/amplification","NEGATIVE",4485,600,5118
2020-07-29,"Antigen by DFA/IF","POSITIVE",15,600,5118
2020-07-29,"PCR/amplification","POSITIVE",585,600,5118
2020-07-30,"Antigen by DFA/IF","NEGATIVE",49,494,4476
2020-07-30,"PCR/amplification","NEGATIVE",3933,494,4476
2020-07-30,"Antigen by DFA/IF","POSITIVE",11,494,4476
2020-07-30,"PCR/amplification","POSITIVE",483,494,4476
2020-07-31,"Antigen by DFA/IF","NEGATIVE",67,501,5231
2020-07-31,"PCR/amplification","NEGATIVE",4663,501,5231
2020-07-31,"Antigen by DFA/IF","POSITIVE",9,501,5231
2020-07-31,"PCR/amplification","POSITIVE",492,501,5231
2020-08-01,"Antigen by DFA/IF","NEGATIVE",18,354,4017
2020-08-01,"PCR/amplification","NEGATIVE",3645,354,4017
2020-08-01,"Antigen by DFA/IF","POSITIVE",6,354,4017
2020-08-01,"PCR/amplification","POSITIVE",348,354,4017
2020-08-02,"Antigen by DFA/IF","NEGATIVE",18,233,3222
2020-08-02,"PCR/amplification","NEGATIVE",2971,233,3222
2020-08-02,"Antigen by DFA/IF","POSITIVE",6,233,3222
2020-08-02,"PCR/amplification","POSITIVE",227,233,3222
2020-08-03,"Antigen by DFA/IF","NEGATIVE",138,428,4618
2020-08-03,"PCR/amplification","NEGATIVE",4052,428,4618
2020-08-03,"Antigen by DFA/IF","POSITIVE",19,428,4618
2020-08-03,"PCR/amplification","POSITIVE",409,428,4618
2020-08-04,"Antigen by DFA/IF","NEGATIVE",73,485,4952
2020-08-04,"PCR/amplification","NEGATIVE",4394,485,4952
2020-08-04,"Antigen by DFA/IF","POSITIVE",19,485,4952
2020-08-04,"PCR/amplification","POSITIVE",466,485,4952
2020-08-05,"Antigen by DFA/IF","NEGATIVE",64,464,4811
2020-08-05,"PCR/amplification","NEGATIVE",4283,464,4811
2020-08-05,"Antigen by DFA/IF","POSITIVE",12,464,4811
2020-08-05,"PCR/amplification","POSITIVE",452,464,4811
2020-08-06,"Antigen by DFA/IF","NEGATIVE",71,428,5267
2020-08-06,"PCR/amplification","NEGATIVE",4768,428,5267
2020-08-06,"Antigen by DFA/IF","POSITIVE",18,428,5267
2020-08-06,"PCR/amplification","POSITIVE",410,428,5267
2020-08-07,"Antigen by DFA/IF","NEGATIVE",91,415,4648
2020-08-07,"PCR/amplification","NEGATIVE",4142,415,4648
2020-08-07,"Antigen by DFA/IF","POSITIVE",13,415,4648
2020-08-07,"PCR/amplification","POSITIVE",402,415,4648
2020-08-08,"Antigen by DFA/IF","NEGATIVE",33,314,4362
2020-08-08,"PCR/amplification","NEGATIVE",4015,314,4362
2020-08-08,"Antigen by DFA/IF","POSITIVE",11,314,4362
2020-08-08,"PCR/amplification","POSITIVE",303,314,4362
2020-08-09,"Antigen by DFA/IF","NEGATIVE",13,242,3108
2020-08-09,"PCR/amplification","NEGATIVE",2853,242,3108
2020-08-09,"Antigen by DFA/IF","POSITIVE",2,242,3108
2020-08-09,"PCR/amplification","POSITIVE",240,242,3108
2020-08-10,"Antigen by DFA/IF","NEGATIVE",159,345,3123
2020-08-10,"PCR/amplification","NEGATIVE",2619,345,3123
2020-08-10,"Antigen by DFA/IF","POSITIVE",20,345,3123
2020-08-10,"PCR/amplification","POSITIVE",325,345,3123
2020-08-11,"Antigen by DFA/IF","NEGATIVE",173,404,4109
2020-08-11,"PCR/amplification","NEGATIVE",3532,404,4109
2020-08-11,"Antigen by DFA/IF","POSITIVE",13,404,4109
2020-08-11,"PCR/amplification","POSITIVE",391,404,4109
2020-08-12,"Antigen by DFA/IF","NEGATIVE",195,435,4609
2020-08-12,"PCR/amplification","NEGATIVE",3979,435,4609
2020-08-12,"Antigen by DFA/IF","POSITIVE",11,435,4609
2020-08-12,"PCR/amplification","POSITIVE",424,435,4609
